 voicetext_paul.  112937 [006] 42895.288631:          1  branches:u:          10065bea [unknown] (/samples/vt_pau.dll) =>         10065bce [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288631:          1  branches:u:          10065bd8 [unknown] (/samples/vt_pau.dll) =>         10065b52 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288631:          1  branches:u:          10065b69 [unknown] (/samples/vt_pau.dll) =>         10065b76 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288631:          1  branches:u:          10065b7c [unknown] (/samples/vt_pau.dll) =>         10065b83 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288631:          1  branches:u:          10065b86 [unknown] (/samples/vt_pau.dll) =>         10065bdd [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288631:          1  branches:u:          10065bea [unknown] (/samples/vt_pau.dll) =>         10065bce [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288631:          1  branches:u:          10065bd8 [unknown] (/samples/vt_pau.dll) =>         10065b52 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288631:          1  branches:u:          10065b69 [unknown] (/samples/vt_pau.dll) =>         10065b76 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288631:          1  branches:u:          10065b7c [unknown] (/samples/vt_pau.dll) =>         10065b83 [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288631:          1  branches:u:          10065b86 [unknown] (/samples/vt_pau.dll) =>         10065bdd [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288631:          1  branches:u:          10065bea [unknown] (/samples/vt_pau.dll) =>         10065bce [unknown] (/samples/vt_pau.dll)
 voicetext_paul.  112937 [006] 42895.288631:          1  branches:u:          10065bd8 [unknown] (/samples/vt_pau.dll) =>         10065b52 [unknown] (/samples/vt_pau.dll)
